Serial Number	Cathode Luminous Sens. (µA/lm)	Anode Luminous Sens. (A/lm)	Anode Dark Current (nA)	Cathode Blue Sens. Index	Supply Voltage 2.105 (V)	Supply Voltage 106 (V)	P/V	T.T.S (ns)	Dark Counts (s-1)
513	117	30.3	2.3	13.9	1190	1620	3.38	2.553	1500
514	100	15.9	1.5	13.3	1310	1790	3.43	2.207	4200
515	123	30.8	3.1	14.1	1200	1620	2.22	2.411	5600
517	105	22.9	1.9	13.7	1230	1670	3.11	2.164	2400
519	105	18.6	2.3	13.5	1280	1750	2.91	2.134	1200
521	113	27.2	3.2	13.8	1220	1630	2.64	2.299	4300
522	102	22.1	1.7	13.6	1230	1680	2.9	2.248	1500
523	107	24.8	2.7	13.7	1220	1650	3.11	2.403	2400
524	108	24.4	2.5	13.7	1220	1660	3.11	2.267	2300
526	88	14.2	3.2	12.5	1300	1780	3	2.276	1700
527	105	15.1	1.5	13.5	1330	1820	2.9	2.268	4700
528	101	14.4	1.7	13.6	1330	1840	2.73	2.142	3600
529	94	14.9	8.9	12.8	1300	1780	3.1	2.302	4000
530	102	19.5	0.73	13.7	1260	1720	3.2	2.487	2200
531	108	17.8	9	14	1290	1770	3.09	2.27	2300
532	98	9.6	2.2	12.7	1430	1990	2.73	2.272	1000
533	114	14.9	3.7	14.4	1350	1860	2.67	2.227	3400
534	114	14.7	3.7	14	1360	1870	2.64	2.448	4300
535	114	15.4	29	14.2	1350	1780	2.06	2.249	2100
536	114	15.8	32	13.9	1340	1830	2.77	2.457	4100
537	109	14	1.7	13.6	1360	1870	2.88	2.104	6500
539	123	28.6	4	14.3	1220	1650	3	2.212	8800
541	97	13.7	1.7	13.2	1330	1820	2.33	2.329	4200
542	105	16.9	1.4	13.8	1300	1780	2.42	2.216	5700
543	105	15.3	2.6	13.3	1320	1820	2.2	2.563	6000
544	95	15.2	1.1	13.6	1300	1780	3	2.211	2600
548	108	21.6	3.4	13.5	1210	1640	2.89	2.177	3200
549	100	18.6	1.3	13.8	1250	1700	2.21	2.321	6600
550	105	24	0.72	13.9	1260	1720	3.3	2.046	2400
551	108	19.8	2.5	13.2	1220	1650	3.25	2.338	1800
552	98	23.6	1.4	13.2	1270	1730	2.89	2.06	3300
553	116	16.9	0.72	14.5	1210	1640	2.58	2.485	2100
554	105	22.6	0.55	13.7	1330	1820	2.36	2.106	3300
556	115	21.1	2	14.4	1260	1730	2.64	2.195	3100
557	159	38.2	3.6	16.9	1210	1640	2.9	2.304	5200
558	103	14.2	0.99	13.8	1340	1860	3.33	2.252	2200
559	103	21.3	2.6	13	1240	1680	3.33	2.2	3000
560	114	23.4	2.4	14.1	1240	1690	2.53	2.416	2400
561	96	11.1	28	13.5	1390	1950	2.13	2.56	2800
562	95	19.6	2.2	13.1	1250	1700	2.91	2.201	2700
563	93	15.3	1.7	13	1290	1770	2.79	2.352	3900
564	102	20	44	13.7	1250	1710	2.75	2.255	4900
565	102	17.9	5.6	13.4	1280	1750	2.5	2.462	5200
566	100	12	2.6	13.9	1370	1900	3	2.02	3400
569	106	27.9	1.3	14.3	1180	1610	2.57	2.548	3500
570	106	28	1.2	13.6	1190	1610	2.9	2.293	3400
571	113	26.9	1.4	14.5	1210	1640	2.5	2.604	4700
572	114	18.7	1.9	14.4	1290	1770	2.75	2.061	4600
574	88	16.9	1.1	12.5	1250	1710	2.85	2.381	1800
575	100	19.8	2.1	13.4	1250	1710	2.11	2.344	3300
576	96	17.8	1.4	13.2	1260	1720	2.87	2.212	2900
577	131	27.4	5	15.9	1240	1690	2.93	2.232	4400
578	100	17.5	1.7	12.9	1280	1750	2.73	2.219	3800
579	111	23.2	1.3	14.2	1250	1700	2.83	2.243	2700
580	111	22.7	3.8	13.8	1250	1690	2.62	2.228	7200
581	131	32.3	8.2	14.7	1200	1630	2.25	2.319	9100
584	115	16.9	1.3	14.1	1320	1820	2.5	2.139	3700
585	115	23.4	2.3	14.1	1250	1700	2.42	2.424	6700
586	112	23.9	8.9	14.4	1230	1680	3.18	2.296	4400
587	116	23.6	5.8	13.2	1250	1700	2.64	2.377	6800
589	109	18.9	4	13.5	1280	1750	2.56	2.34	6600
590	100	26.3	2.2	13.8	1200	1610	2.9	2.323	2100
591	103	20.4	0.59	13.6	1250	1700	2.67	2.218	1600
592	119	30.7	1.3	14.9	1200	1610	2.5	2.21	3200
593	119	40.3	3.1	14.7	1150	1520	2.56	2.558	2600
594	111	35.7	4.5	14.3	1150	1530	3.25	2.357	1700
595	94.6	11.1	0.35	12.7	1380	1930	2.18	2	6100
599	140	25.2	82.6	15.9	1280	1710	2.09	2.11	8500
601	132	23.6	84.5	15.9	1270	1720	2.13	2.04	3500
602	121	33.6	83.2	15.2	1180	1580	2.23	2.19	6700
603	115	32.9	79.2	15.4	1180	1580	2.23	2.1	2100
604	150	30.6	110	16.8	1250	1690	2	2.1	9800
605	164	41.9	84.2	16.7	1200	1620	2	2.07	5200
606	124	49.7	80.9	16.4	1110	1490	2.62	2.1	1900
608	107	25.7	31.2	14.7	1220	1640	2	1.98	9800
610	123	33.3	29.8	15.6	1180	1600	2.2	2.14	2300
33	149	36.8	13	15.2	0	99999	2.38	2.878	8300
